,NB,DT,SVM,Network,SNB+FULL,SNB+BIC,SVM+Audio,LR_SVM,DT_Audio,LR_DT,Network_Audio,LR_network,NB_Audio,LR_NB,,,,,,,,,,,
0,0.753289474,0.769736842,0.809210526,0.766447368,0.861842105,0.858552632,0.805921053,0.884868421,0.815789474,0.815789474,0.723684211,0.858552632,0.782894737,0.875,,,0,0,6.35E-08,3.64E-173,0.5,0,8.54E-96,3.06E-227,1.36E-224
1,0.756578947,0.799342105,0.769736842,0.730263158,0.865131579,0.871710526,0.792763158,0.871710526,0.861842105,0.861842105,0.730263158,0.865131579,0.769736842,0.871710526,,,0,0,0.013120889,1,1.60E-13,0,4.46E-51,4.05E-209,7.95E-206
2,0.733552632,0.756578947,0.792763158,0.855263158,0.865131579,0.871710526,0.799342105,0.871710526,0.805921053,0.805921053,0.460526316,0.871710526,0.743421053,0.871710526,,,,,,,,,,,
3,0.717105263,0.75,0.782894737,0.891447368,0.855263158,0.858552632,0.809210526,0.861842105,0.799342105,0.815789474,0.736842105,0.858552632,0.736842105,0.858552632,,,,,,,,,,,
4,0.713815789,0.815789474,0.773026316,0.911184211,0.845394737,0.855263158,0.773026316,0.851973684,0.796052632,0.796052632,0.657894737,0.851973684,0.736842105,0.858552632,,,,,,,,,,,
5,0.786184211,0.792763158,0.782894737,0.697368421,0.871710526,0.871710526,0.746710526,0.881578947,0.815789474,0.815789474,0.733552632,0.865131579,0.75,0.871710526,,,,,,,,,,,
6,0.730263158,0.786184211,0.792763158,0.917763158,0.8125,0.822368421,0.753289474,0.851973684,0.835526316,0.835526316,0.720394737,0.809210526,0.746710526,0.822368421,,,,,,,,,,,
7,0.766447368,0.828947368,0.786184211,0.888157895,0.868421053,0.884868421,0.773026316,0.888157895,0.871710526,0.871710526,0.651315789,0.855263158,0.819078947,0.884868421,,,,,,,,,,,
8,0.756578947,0.799342105,0.796052632,0.911184211,0.868421053,0.875,0.786184211,0.878289474,0.825657895,0.825657895,0.697368421,0.865131579,0.740131579,0.878289474,,,,,,,,,,,
9,0.746710526,0.756578947,0.756578947,0.796052632,0.881578947,0.891447368,0.769736842,0.878289474,0.828947368,0.828947368,0.723684211,0.888157895,0.753289474,0.894736842,,,,,,,,,,,
10,0.753289474,0.763157895,0.799342105,0.907894737,0.851973684,0.858552632,0.746710526,0.891447368,0.871710526,0.871710526,0.611842105,0.858552632,0.733552632,0.865131579,,,,,,,,,,,
11,0.730263158,0.759868421,0.766447368,0.878289474,0.842105263,0.848684211,0.815789474,0.858552632,0.815789474,0.815789474,0.651315789,0.851973684,0.756578947,0.848684211,,,,,,,,,,,
12,0.763157895,0.779605263,0.730263158,0.792763158,0.838815789,0.848684211,0.819078947,0.858552632,0.851973684,0.851973684,0.611842105,0.845394737,0.756578947,0.848684211,,,,,,,,,,,
