,knn_22_16,knn_22_32,knn_44_16,knn_44_32,ldc_22_16,ldc_22_32,ldc_44_16,ldc_44_32,vote_const,vote_accuracy,,,
0,0.652866242,0.652866242,0.646496815,0.640127389,0.796178344,0.796178344,0.802547771,0.799363057,0.812101911,0.812101911,min,0.738853503,0.738853503
1,0.598726115,0.598726115,0.592356688,0.579617834,0.780254777,0.780254777,0.780254777,0.789808917,0.777070064,0.78343949,medain,0.799363057,0.799363057
2,0.646496815,0.646496815,0.643312102,0.643312102,0.812101911,0.812101911,0.808917197,0.818471338,0.812101911,0.802547771,mean,0.800958599,0.801171975
3,0.617834395,0.617834395,0.605095541,0.656050955,0.78343949,0.78343949,0.780254777,0.808917197,0.789808917,0.796178344,max,0.866242038,0.875796178
4,0.611464968,0.611464968,0.601910828,0.617834395,0.78343949,0.78343949,0.78343949,0.796178344,0.802547771,0.805732484,sd,0.019066834,0.019649822
5,0.640127389,0.640127389,0.636942675,0.643312102,0.799363057,0.799363057,0.805732484,0.796178344,0.802547771,0.799363057,,,
6,0.589171975,0.589171975,0.589171975,0.573248408,0.796178344,0.796178344,0.78343949,0.796178344,0.792993631,0.796178344,,,
7,0.601910828,0.601910828,0.608280255,0.557324841,0.757961783,0.757961783,0.761146497,0.75477707,0.76433121,0.770700637,,,
8,0.595541401,0.595541401,0.601910828,0.601910828,0.799363057,0.799363057,0.799363057,0.789808917,0.802547771,0.796178344,,,
9,0.608280255,0.608280255,0.608280255,0.617834395,0.792993631,0.792993631,0.792993631,0.789808917,0.792993631,0.78343949,,,
10,0.668789809,0.668789809,0.665605096,0.665605096,0.802547771,0.802547771,0.796178344,0.812101911,0.802547771,0.802547771,,,
11,0.630573248,0.630573248,0.627388535,0.630573248,0.777070064,0.777070064,0.786624204,0.796178344,0.777070064,0.789808917,,,
12,0.579617834,0.579617834,0.585987261,0.611464968,0.780254777,0.780254777,0.78343949,0.808917197,0.786624204,0.792993631,,,
13,0.630573248,0.630573248,0.624203822,0.614649682,0.802547771,0.802547771,0.802547771,0.786624204,0.802547771,0.792993631,,,
