name,genre,lowenergy,zerocrossing_mean,centroid_mean,flux_mean,rolloff_mean,MFCC_1_mean,MFCC_2_mean,MFCC_3_mean,MFCC_4_mean,MFCC_5_mean,zerocrossing_var,centroid_var,flux_var,rolloff_var,MFCC_1_var,MFCC_2_var,MFCC_3_var,MFCC_4_var,MFCC_5_var
01 Menuet,classic,0.569554399,0.064323503,0.118541741,0.003423624,0.102494652,-24.62252654,2.120864217,-0.917718479,0.199201832,-0.310209694,0.000150666,0.000608342,5.99E-05,0.000589634,3.646351901,0.579246651,0.253092876,0.151353598,0.127537091
01. Kyrie Eleison,classic,0.624776289,0.081053145,0.141632657,0.003222012,0.114452281,-25.34872329,1.788789611,-1.188699061,0.011846452,-0.150754768,0.000211462,0.000399212,6.30E-05,0.000448505,7.334292851,0.248723145,0.201485066,0.096820561,0.129732619
02 Menuet,classic,0.520973154,0.164781051,0.280321171,0.001512576,0.280880908,-24.50679242,0.829842264,-0.619472844,-0.266255861,-0.24913516,0.001105053,0.001033064,4.93E-06,0.009833601,5.478434344,0.542474899,0.217287715,0.132306435,0.100755591
02. Christe Eleison,classic,0.585814881,0.070262062,0.162710061,0.00270587,0.09349822,-24.52650932,2.092993699,-0.312922488,-0.278347438,-0.481646232,0.000920109,0.001375325,1.71E-05,0.004519199,6.612941697,0.357569028,0.268740972,0.211478392,0.21835853
03 Menuet,classic,0.583249749,0.084800951,0.12307294,0.00239251,0.102502608,-24.80619331,3.022810988,-0.090615795,0.400870072,-0.208022968,0.00105582,0.001140879,0.000226346,0.001287022,11.46156596,0.424260485,0.216637465,0.168548131,0.131941925
03. Kyrie Eleison,classic,0.538392957,0.08749986,0.151326352,0.002516119,0.122304198,-24.4500399,1.657751969,-0.682427194,0.017415981,-0.136925051,0.000433592,0.000818954,0.00010095,0.000995912,16.7633862,0.268618491,0.098904417,0.074049689,0.07144672
04 Menuet,classic,0.494409938,0.137632455,0.251966572,0.001453921,0.19798146,-24.09715883,1.479336995,-0.325916871,-0.053937279,-0.115783711,0.000664309,0.000764688,4.85E-06,0.007628022,9.045649776,0.388795983,0.434771626,0.171800175,0.144983638
04. Chor Gloria In Exelcis,classic,0.783048747,0.091980051,0.159230033,0.00309931,0.131205824,-25.50537921,1.542351174,-0.964226277,0.074938092,-0.101358482,0.000404583,0.000589139,6.97E-05,0.001345864,8.147761108,0.301427204,0.236389837,0.110293822,0.106435413
05 Polonaise,classic,0.514047077,0.164000698,0.274316341,0.001458832,0.260613753,-24.30441542,1.036445807,-0.39620299,-0.072718684,-0.144137032,0.00123546,0.000927747,3.56E-06,0.008618654,5.866554629,0.429752243,0.213148732,0.129910378,0.099305863
05. Aria For Soprano,classic,0.629243376,0.088969783,0.189585484,0.002616354,0.132162695,-25.22056751,1.732884273,-0.407467598,-0.379937232,-0.357786753,0.001065786,0.001134492,4.42E-05,0.005143461,4.610646349,0.372741639,0.252820299,0.147253207,0.14610489
06 Menuet,classic,0.517962309,0.135983831,0.235789901,0.001798523,0.228279667,-23.30205368,1.143329306,-0.368221875,-0.107899411,-0.528914265,0.00095057,0.00186128,0.00029224,0.006846962,15.85916402,0.138625556,0.183165998,0.120834389,0.101697376
06. Chor Gratias Animus Tibi,classic,0.620977354,0.089624342,0.157520915,0.002554231,0.124998648,-25.1544348,1.371023515,-0.777640013,-0.022258921,-0.18794305,0.000552451,0.001170195,0.000110741,0.001291443,26.4233928,0.293832729,0.126573251,0.090266612,0.08099101
07 Rondo,classic,0.53447042,0.154783819,0.273606986,0.001600974,0.25343321,-24.23483431,0.973654799,-0.63521806,-0.290761025,-0.243122826,0.001006922,0.001336219,0.000122944,0.006389531,6.39599116,0.487192446,0.325720004,0.137708919,0.100113046
07. Duet Domine Deus,classic,0.600976577,0.075645319,0.163547329,0.003892267,0.094230276,-25.09773629,1.760677893,-0.75813411,-0.144574592,-0.314309318,0.000650694,0.001277926,5.00E-05,0.002251406,5.360012073,0.926303476,0.421840259,0.231624001,0.312546018
08. Chor Qui Tollis,classic,0.621920022,0.078262084,0.142205186,0.003324982,0.105600134,-24.18613253,1.914265564,-0.96809331,0.025381947,0.106482596,0.000188764,0.000453145,0.000131909,0.000340983,10.24167533,0.169154274,0.143235735,0.087002499,0.090615914
09 Menuet,classic,0.462762933,0.112136416,0.131537931,0.002673484,0.108969273,-25.12051557,2.909927564,-0.193304486,0.201303883,-0.23698521,0.001536922,0.000965834,0.000279983,0.000756161,8.988968867,0.411031232,0.263789185,0.186624312,0.146711885
09. Aria Qui Sedes,classic,0.629375791,0.081063724,0.163421677,0.002790343,0.11473809,-26.02792704,1.58612406,-0.575685532,-0.067829922,-0.442059872,0.000913739,0.001082191,0.000106336,0.002424245,10.71441282,0.618551993,0.376804473,0.21562514,0.166638744
1.Bass Aria,classic,0.59870065,0.108118398,0.183109114,0.001997597,0.18643446,-23.70395238,1.338355576,-0.407180006,-0.015313196,-0.075435624,0.00151137,0.001729058,1.81E-06,0.005409218,1.562603794,0.389357973,0.247162587,0.17645315,0.138814113
10 Menuet,classic,0.459750758,0.084197929,0.118035807,0.004730882,0.086666883,-25.06866101,2.834802978,-0.108395899,-0.018298013,-0.233455881,0.002318017,0.001239283,0.000905366,0.001278425,18.44528643,0.406433289,0.229132259,0.138167884,0.155147987
10. Aria Quoniam,classic,0.641129412,0.052508586,0.117399934,0.002961344,0.085990221,-24.54629474,2.329537846,-1.152502015,-0.086439044,-0.434849002,0.000109093,0.000541176,2.07E-05,0.000567412,5.726478202,0.559269487,0.148044856,0.099216426,0.084600443
10.Wir setzen uns mit Tr?nen nieder Chorus,classic,0.593555333,0.080271701,0.153973654,0.002458341,0.11431077,-22.84089497,1.961659796,-0.460428942,0.015204831,-0.021554021,0.000347119,0.000456948,2.37E-06,0.001087438,1.755874323,0.161360628,0.175089422,0.077550844,0.083271799
11 Marche,classic,0.520335986,0.111719834,0.148039531,0.006034936,0.184830731,-24.73333954,1.034774004,-0.766306097,-0.128899203,-0.620155666,0.001133497,0.001181477,0.000493227,0.002897268,14.52039414,0.794912913,0.419106329,0.432892093,0.271879826
11. Chor Cum Sancto,classic,0.674919392,0.088980601,0.153377706,0.003606304,0.125356853,-24.72328402,1.622209501,-1.119432848,0.031862761,-0.093110431,0.000318918,0.000452597,0.000107453,0.001089269,5.171286523,0.231029566,0.150344224,0.087848213,0.091209762
12. Chor Credo In Unum Deum,classic,0.52514193,0.084147126,0.15166242,0.004063292,0.112173472,-23.7853503,1.743450601,-1.310285962,-0.017439485,0.05458849,0.000235714,0.000511261,0.000155848,0.000412983,8.164843188,0.199421684,0.138493622,0.113397269,0.083185334
13 Marche,classic,0.474993522,0.042625859,0.166054183,0.004226282,0.098021031,-24.9365064,1.90950988,-0.222673658,0.077935054,-0.020103237,0.000484993,0.002475939,0.000301064,0.002180573,23.62909501,0.59779092,0.310463157,0.233980096,0.1960798
13. Chor Patrem Omnipotentem,classic,0.689818096,0.083736345,0.148296158,0.003407209,0.119659164,-24.49046613,1.791777893,-0.865913469,0.168359239,0.070770687,0.00038857,0.00067874,0.000131576,0.001120647,8.988099184,0.248736313,0.137513502,0.103245782,0.078298775
14 Polonaise,classic,0.581260844,0.13719874,0.251413208,0.00132181,0.220167549,-23.02700801,1.469508188,-0.490071063,-0.088090112,0.004376282,0.000463043,0.000647512,2.44E-06,0.006398897,1.657306,0.250011896,0.219697407,0.132213857,0.079556978
14. Duet In Unum,classic,0.654623155,0.095308037,0.166407791,0.003287503,0.128301548,-24.95490174,1.429684762,-0.861791862,0.076358817,-0.118575407,0.00046041,0.000711393,5.33E-05,0.001211729,4.739406532,0.299944356,0.297923401,0.130584615,0.100286775
15 Musette,classic,0.45021476,0.081450217,0.133613578,0.005379873,0.146585917,-25.07535045,1.651204565,-1.25441274,-0.163808602,-0.311045222,0.00031268,0.000913221,3.74E-05,0.003566228,8.281108592,1.164446684,0.277286309,0.194337843,0.336501087
15. Et Incarnatus & Cricifixus,classic,0.665374677,0.050612224,0.129472354,0.002919153,0.064358955,-27.10394038,2.63105602,-0.01887161,0.051542118,-0.489089483,0.000477745,0.000857534,7.53E-05,0.001526684,9.58560413,0.449228856,0.277013223,0.191274167,0.166954586
16 Marche,classic,0.594825482,0.107056026,0.144535153,0.002960507,0.191060964,-24.72232009,2.053942795,-0.375784153,0.119397081,-0.343365025,0.001611482,0.001920718,4.68E-05,0.005142428,12.95873917,0.780551682,0.268275196,0.230144655,0.322764448
16. Et Ressurexit,classic,0.690108028,0.08789385,0.155493537,0.003128672,0.129562818,-25.62894822,1.482223455,-0.840864472,0.13677092,-0.072304093,0.000565774,0.000871806,9.59E-05,0.001687767,14.28062074,0.397602311,0.259824066,0.109766944,0.105712318
17. Bass Aria Et In Spritum,classic,0.61494991,0.072631587,0.156147216,0.002478317,0.100808236,-24.74499462,1.80147274,-0.709807878,0.28290002,-0.188173496,0.000962133,0.000797865,6.96E-05,0.001457844,4.839098745,0.510157941,0.422345213,0.218329298,0.139370932
18. Confiteor,classic,0.745631352,0.07990901,0.143587563,0.003968579,0.11276605,-25.78019589,1.868135661,-1.337790017,-0.016782968,-0.004006534,0.000239444,0.0004287,6.16E-05,0.000695283,6.460625372,0.221260778,0.197779315,0.104626908,0.093553977
19. Sanctus,classic,0.626871915,0.094115516,0.157681478,0.003424675,0.134879913,-25.24916777,1.47653984,-1.340091685,0.010828749,-0.113825184,0.00031752,0.000395219,3.54E-05,0.001577996,6.742612841,0.238133678,0.257312143,0.105590669,0.092688687
2 Polonaises op26 n1,classic,0.705587309,0.061945213,0.114164939,0.002552455,0.097082217,-26.23194502,2.293819668,-0.940111516,0.083477867,-0.625189901,0.000158523,0.000599403,8.58E-06,0.000543116,10.85907162,0.314928933,0.199821469,0.175379809,0.161856992
2.Aus Liebe will mein Heiland sterban Soprano Aria,classic,0.525863264,0.086622378,0.152689092,0.004633288,0.115186745,-24.49612842,0.288197617,-1.989805,-0.243078051,-0.259437323,0.00034008,0.000675263,8.51E-05,0.001324129,3.800186092,0.464786526,0.276057145,0.23265834,0.255336395
20. Osanna,classic,0.668884609,0.09515426,0.160917284,0.00337661,0.145038343,-25.44360627,1.532115425,-0.90043365,0.086037215,-0.021635274,0.000737268,0.000958161,4.97E-05,0.003227136,9.909862341,0.515586929,0.321887288,0.108984869,0.089271936
21. Benedictus,classic,0.636026464,0.053640272,0.112648879,0.003168176,0.079643959,-25.76949913,2.592917651,-0.304504339,0.334910155,-0.450607909,0.00025477,0.000899084,9.32E-05,0.00072295,10.07443712,0.491217678,0.22824295,0.224166152,0.236539945
